start,end,agg_cost
5101,5101,
5101,5102,7.12985968194574
5101,5103,1.7940444054141798
5101,5104,1.6340444054141798
5101,5105,6.42985968194574
5101,5106,6.34985968194574
5101,5107,7.12985968194574
5101,5108,11.9439040873599
5101,5109,22.1839040873599
5101,5110,9.48602898103232
5101,5111,5.10404440541418
5101,5112,2.85404440541418
5101,5113,2.27404440541418
5101,5114,23.202552998046897
5101,5115,6.00985968194574
5101,5116,7.893904087359919
5101,5117,9.48602898103232
5101,5118,6.34904440541418
5101,5201,35.341172920502295
5101,5202,14.223854069223599
5101,5203,12.4238540692236
5101,5204,8.30401465544122
5101,5205,7.72901465544122
5101,5206,9.44785406922357
5101,5207,11.1278540692236
5101,5208,7.72901465544122
5101,5210,12.564552998046901
5101,5211,16.2805529980469
5101,5301,10.109028981032301
5101,5302,33.3089040873599
5101,5303,19.193904087359897
5101,5304,19.193904087359897
5101,5305,19.193904087359897
5101,5701,12.659531030859899
5101,5702,11.120681322107902
5101,5717,13.2835310308599
5102,5101,5.866984575618139
5102,5102,
5102,5103,6.50698457561814
5102,5104,6.34698457561814
5102,5105,1.3801830420853503
5102,5106,2.77576391747659
5102,5107,
5102,5108,8.26098457561814
5102,5109,20.120984575618102
5102,5110,9.19098457561814
5102,5111,6.928233290252991
5102,5112,7.2882332902529905
5102,5113,6.9869845756181395
5102,5114,16.072693316101198
5102,5115,1.8001830420853502
5102,5116,3.92518304208535
5102,5117,9.19098457561814
5102,5118,5.50098457561814
5102,5201,28.2113132385566
5102,5202,7.60018304208535
5102,5203,5.80018304208535
5102,5204,4.36743058414325
5102,5205,3.79243058414325
5102,5206,2.82418304208535
5102,5207,4.50418304208535
5102,5208,3.79243058414325
5102,5210,5.4346933161012005
5102,5211,9.150693316101199
5102,5301,11.7349845756181
5102,5302,31.2459845756181
5102,5303,15.5109845756181
5102,5304,15.5109845756181
5102,5305,15.5109845756181
5102,5701,8.72294695956194
5102,5702,7.18409725080992
5102,5717,9.25618304208535
5103,5101,1.45899590781706
5103,5102,6.50698457561814
5103,5103,
