start,end,agg_cost
5101,5102,7.0
5101,5103,0.0
5101,5104,0.0
5101,5105,0.0
5101,5106,3.0
5101,5107,4.0
5101,5108,9.0
5101,5109,10.0
5101,5110,7.0
5101,5111,6.0
5101,5112,5.0
5101,5113,7.0
5101,5114,12.0
5101,5115,3.0
5101,5116,3.0
5101,5117,3.0
5101,5118,0.0
5101,5201,13.0
5101,5202,10.0
5101,5203,20.0
5101,5204,17.0
5101,5205,13.0
5101,5206,5.0
5101,5207,8.0
5101,5208,4.0
5101,5210,7.0
5101,5211,11.0
5101,5301,12.0
5101,5302,14.0
5101,5303,16.0
5101,5304,15.0
5101,5305,16.0
5101,5717,10.0
5102,5101,6.0
5102,5103,6.0
5102,5104,6.0
5102,5105,0.0
5102,5106,0.0
5102,5107,0.0
5102,5108,0.0
5102,5109,7.0
5102,5110,2.0
5102,5111,2.0
5102,5112,11.0
5102,5113,28.0
5102,5114,0.0
5102,5115,10.0
5102,5116,0.0
5102,5117,2.0
5102,5118,2.0
5102,5201,8.0
5102,5202,7.0
5102,5203,11.0
5102,5204,8.0
5102,5205,0.0
5102,5206,2.0
5102,5207,5.0
5102,5208,4.0
5102,5210,4.0
5102,5211,8.0
5102,5301,9.0
5102,5302,17.0
5102,5303,10.0
5102,5304,5.0
5102,5305,0.0
5102,5717,19.0
5103,5101,0.0
5103,5102,7.0
5103,5104,3.0
5103,5105,0.0
5103,5106,7.0
5103,5107,4.0
5103,5108,9.0
5103,5109,4.0
5103,5110,0.0
5103,5111,2.0
5103,5112,2.0
5103,5113,7.0
5103,5114,6.0
5103,5115,6.0
5103,5116,3.0
5103,5117,5.0
5103,5118,0.0
5103,5201,15.0
5103,5202,10.0
5103,5203,20.0
5103,5204,17.0
5103,5205,13.0
5103,5206,5.0
5103,5207,8.0
5103,5208,4.0
5103,5210,7.0
5103,5211,11.0
5103,5301,6.0
5103,5302,23.0
5103,5303,16.0
5103,5304,15.0
5103,5305,16.0
5103,5717,10.0
5104,5101,2.0
5104,5102,7.0
5104,5103,2.0
5104,5105,0.0
5104,5106,4.0
5104,5107,4.0
5104,5108,15.0
5104,5109,10.0
5104,5110,8.0
5104,5111,7.0
5104,5112,2.0
5104,5113,10.0
5104,5114,3.0
5104,5115,3.0
5104,5116,6.0
5104,5117,10.0
5104,5118,6.0
5104,5201,13.0
5104,5202,10.0
5104,5203,20.0
5104,5204,17.0
5104,5205,13.0
5104,5206,5.0
5104,5207,8.0
5104,5208,13.0
5104,5210,7.0
5104,5211,11.0
5104,5301,13.0
5104,5302,22.0
5104,5303,15.0
5104,5304,20.0
5104,5305,21.0
5104,5717,28.0
5105,5101,0.0
5105,5102,0.0
5105,5103,0.0
5105,5104,0.0
5105,5106,0.0
5105,5107,0.0
5105,5108,0.0
5105,5109,0.0
5105,5110,0.0
5105,5111,0.0
5105,5112,0.0
5105,5113,0.0
5105,5114,0.0
5105,5115,0.0
5105,5116,0.0
5105,5117,0.0
5105,5118,0.0
5105,5201,0.0
5105,5202,0.0
5105,5203,0.0
5105,5204,0.0
5105,5205,0.0
5105,5206,0.0
5105,5207,0.0
5105,5208,0.0
5105,5210,0.0
5105,5211,0.0
5105,5301,0.0
5105,5302,0.0
5105,5303,0.0
5105,5304,0.0
5105,5305,0.0
5105,5717,0.0
5106,5101,1.0
5106,5102,0.0
5106,5103,6.0
5106,5104,8.0
5106,5105,0.0
5106,5107,4.0
5106,5108,12.0
5106,5109,11.0
5106,5110,8.0
5106,5111,7.0
5106,5112,8.0
5106,5113,18.0
5106,5114,0.0
5106,5115,5.0
5106,5116,4.0
5106,5117,4.0
5106,5118,7.0
5106,5201,8.0
5106,5202,10.0
5106,5203,23.0
5106,5204,20.0
5106,5205,16.0
5106,5206,5.0
5106,5207,8.0
5106,5208,16.0
5106,5210,0.0
5106,5211,11.0
5106,5301,13.0
5106,5302,15.0
5106,5303,19.0
5106,5304,26.0
5106,5305,15.0
5106,5717,31.0
5107,5101,8.0
5107,5102,0.0
5107,5103,8.0
5107,5104,8.0
5107,5105,0.0
5107,5106,0.0
5107,5108,3.0
5107,5109,18.0
5107,5110,15.0
5107,5111,9.0
5107,5112,13.0
5107,5113,18.0
5107,5114,0.0
5107,5115,8.0
5107,5116,2.0
5107,5117,9.0
5107,5118,9.0
5107,5201,8.0
5107,5202,6.0
5107,5203,7.0
5107,5204,4.0
5107,5205,0.0
5107,5206,0.0
5107,5207,4.0
5107,5208,0.0
5107,5210,3.0
5107,5211,7.0
5107,5301,20.0
5107,5302,17.0
5107,5303,10.0
5107,5304,5.0
5107,5305,0.0
5107,5717,6.0
5108,5101,9.0
5108,5102,0.0
5108,5103,11.0
5108,5104,14.0
5108,5105,0.0
5108,5106,13.0
5108,5107,13.0
5108,5109,4.0
5108,5110,8.0
5108,5111,8.0
5108,5112,14.0
5108,5113,24.0
5108,5114,17.0
5108,5115,17.0
5108,5116,3.0
5108,5117,0.0
5108,5118,9.0
5108,5201,21.0
5108,5202,19.0
5108,5203,13.0
5108,5204,10.0
5108,5205,0.0
5108,5206,14.0
5108,5207,17.0
5108,5208,6.0
5108,5210,16.0
5108,5211,20.0
5108,5301,7.0
5108,5302,14.0
5108,5303,7.0
5108,5304,5.0
5108,5305,6.0
5108,5717,21.0
5109,5101,12.0
5109,5102,8.0
5109,5103,7.0
5109,5104,10.0
5109,5105,0.0
5109,5106,15.0
5109,5107,16.0
5109,5108,7.0
5109,5110,4.0
5109,5111,4.0
5109,5112,17.0
5109,5113,20.0
5109,5114,22.0
5109,5115,13.0
5109,5116,8.0
5109,5117,0.0
5109,5118,4.0
5109,5201,23.0
5109,5202,22.0
5109,5203,25.0
5109,5204,22.0
5109,5205,8.0
5109,5206,17.0
5109,5207,20.0
5109,5208,18.0
5109,5210,19.0
5109,5211,23.0
5109,5301,2.0
5109,5302,4.0
5109,5303,3.0
5109,5304,10.0
5109,5305,11.0
5109,5717,22.0
5110,5101,8.0
5110,5102,4.0
5110,5103,0.0
